"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0.1";"R_R0603";"R0603";"R2";"RESISTOR, American symbol";"";
"1";"0.56_HEX_BACKPACK";"0.56_HEX_BACKPACK";"0.56_HEX_BACKPACK";"U3";"0.56" LED HEX Backback - Adafruit HT16K33 -";"";
"9";"1k";"R_R0603";"R0603";"R1, R3, R4, R5, R6, R7, R8, R9, R10";"RESISTOR, American symbol";"";
"6";"ARCADE_BUTTON";"ARCADE_BUTTON";"ARCADE_BUTTON";"AB1, AB2, AB3, AB4, AB5, AB6";"Arcade Button for He's A Keeper Project";"";
"1";"BUZZER";"BUZZER";"BUZZER_6.5MM";"U2";"CEM-1203 Buzzer";"";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";
"1";"GREEN_LED";"LED";"EIA-STD";"D2";"EIA-STD LED, LTST-C191TBKT";"";
"3";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3";"Chassis Mounting Hole w/GND connection ability";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U1";"";"";
"1";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"SW1";"";"";
"1";"RED_LED";"LED";"EIA-STD";"D1";"EIA-STD LED, LTST-C191TBKT";"";
